,Fraction of Accurate Reassortants,Fraction of Inaccurate Reassortants,Fraction of Accurate Edges,Fraction of Inaccurate Edges,Fraction of Accurate Reassortant Edges,Fraction of Inaccurate Reassortant Edges,Path Accuracy,Reassortant Path Accuracy
0,0.4444444444444444,0.6923076923076923,0.1896551724137931,0.6944444444444444,0.16666666666666666,0.8846153846153846,0.8333333333333334,0.8076923076923077
1,0.25,0.5,0.16981132075471697,0.64,0.125,0.8333333333333334,0.76,0.6666666666666666
2,0.2222222222222222,0.3333333333333333,0.2413793103448276,0.5172413793103449,0.1111111111111111,0.6666666666666666,0.7931034482758621,1.0
3,0.3333333333333333,0.75,0.2692307692307692,0.6,0.16666666666666666,0.9166666666666666,0.6857142857142857,0.4166666666666667
4,0.4,0.5,0.3148148148148148,0.5641025641025641,0.1,0.9285714285714286,0.6666666666666666,0.5
5,0.0,1.0,0.3137254901960784,0.5151515151515151,0.0,1.0,0.6666666666666666,0.5
6,0.25,0.875,0.18867924528301888,0.6666666666666666,0.0,1.0,0.7666666666666667,0.625
7,0.42857142857142855,0.5,0.26785714285714285,0.5945945945945946,0.14285714285714285,0.8666666666666667,0.7297297297297297,0.6
8,0.3333333333333333,0.6,0.36363636363636365,0.5121951219512195,0.3333333333333333,0.7647058823529411,0.7073170731707317,0.6470588235294118
9,0.8333333333333334,0.2857142857142857,0.36363636363636365,0.5,0.5,0.6842105263157895,0.7,0.631578947368421
10,0.3333333333333333,0.7142857142857143,0.21818181818181817,0.5862068965517241,0.3333333333333333,0.7142857142857143,1.0,1.0
11,0.2,0.8888888888888888,0.3148148148148148,0.6136363636363636,0.1,0.9583333333333334,0.6363636363636364,0.4166666666666667
12,0.5454545454545454,0.4,0.21666666666666667,0.6285714285714286,0.22727272727272727,0.75,1.0,1.0
13,0.5,0.5555555555555556,0.2982456140350877,0.6382978723404256,0.1875,0.8695652173913043,0.6808510638297872,0.6086956521739131
14,0.625,0.5454545454545454,0.3684210526315789,0.58,0.4375,0.7666666666666667,0.56,0.4
15,0.3333333333333333,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.16666666666666666,0.8571428571428571,0.9333333333333333,0.8571428571428571
16,0.2857142857142857,0.6666666666666666,0.25,0.65,0.07142857142857142,0.9473684210526315,0.725,0.7368421052631579
17,0.5,0.4444444444444444,0.3389830508474576,0.47368421052631576,0.25,0.7222222222222222,0.8421052631578947,0.7222222222222222
18,0.5,0.0,0.20754716981132076,0.5416666666666666,0.25,0.6,0.6666666666666666,0.6
19,0.6666666666666666,0.3333333333333333,0.41379310344827586,0.42857142857142855,0.6111111111111112,0.5,0.8809523809523809,0.8181818181818182
20,0.5555555555555556,0.2857142857142857,0.3448275862068966,0.4594594594594595,0.2777777777777778,0.7058823529411765,0.8108108108108109,0.6470588235294118
21,0.2,0.8,0.3333333333333333,0.5609756097560976,0.1,0.9444444444444444,0.7073170731707317,0.5
22,0.4,0.7142857142857143,0.24074074074074073,0.5806451612903226,0.3,0.8,0.9032258064516129,0.8666666666666667
23,0.2222222222222222,0.6,0.3275862068965517,0.40625,0.1111111111111111,0.8181818181818182,0.9375,0.9090909090909091
24,0.4,0.6,0.24074074074074073,0.5666666666666667,0.3,0.75,0.8666666666666667,0.8333333333333334
25,0.42857142857142855,0.7692307692307693,0.17857142857142858,0.7368421052631579,0.14285714285714285,0.9230769230769231,0.6578947368421053,0.6153846153846154
26,0.4,0.5555555555555556,0.3389830508474576,0.48717948717948717,0.3,0.6842105263157895,0.9230769230769231,0.8421052631578947
27,0.0,1.0,0.21568627450980393,0.6764705882352942,0.0,1.0,0.6470588235294118,0.38461538461538464
28,0.4,0.6666666666666666,0.1111111111111111,0.76,0.3,0.75,1.0,1.0
29,0.0,1.0,0.13725490196078433,0.7586206896551724,0.0,1.0,0.6206896551724138,0.42857142857142855
30,0.4166666666666667,0.5454545454545454,0.13114754098360656,0.8688524590163934,0.08333333333333333,0.95,0.5409836065573771,0.55
31,0.3333333333333333,0.5,0.13793103448275862,0.7575757575757576,0.16666666666666666,0.7857142857142857,0.7878787878787878,0.7857142857142857
32,0.0,1.0,0.23636363636363636,0.6666666666666666,0.0,1.0,0.6410256410256411,0.5
33,0.0,1.0,0.19230769230769232,0.696969696969697,0.0,1.0,0.7575757575757576,0.5789473684210527
34,0.2857142857142857,0.6,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.6,1.0,1.0
35,0.0,1.0,0.34615384615384615,0.6326530612244898,0.0,1.0,0.5510204081632653,0.25
36,0.3333333333333333,0.6666666666666666,0.21153846153846154,0.65625,0.3333333333333333,0.7142857142857143,0.65625,0.5714285714285714
37,0.8,0.5555555555555556,0.16666666666666666,0.7096774193548387,0.3,0.8421052631578947,0.7419354838709677,0.631578947368421
38,0.5,0.6,0.20754716981132076,0.6333333333333333,0.125,0.9,0.9,0.8
39,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.7575757575757576,0.14285714285714285,0.8571428571428571,1.0,1.0
40,0.4,0.75,0.24074074074074073,0.59375,0.3,0.8235294117647058,1.0,1.0
41,0.8333333333333334,0.5454545454545454,0.18181818181818182,0.7058823529411765,0.4166666666666667,0.782608695652174,0.7941176470588235,0.7391304347826086
42,0.5555555555555556,0.375,0.29310344827586204,0.5641025641025641,0.3888888888888889,0.65,0.7435897435897436,0.7
43,0.25,0.5,0.16981132075471697,0.64,0.25,0.5,0.6,1.0
44,0.3333333333333333,0.7777777777777778,0.18181818181818182,0.6666666666666666,0.16666666666666666,0.8888888888888888,1.0,1.0
45,0.7142857142857143,0.4444444444444444,0.25,0.6818181818181818,0.42857142857142855,0.7391304347826086,0.8181818181818182,0.8260869565217391
46,0.42857142857142855,0.5714285714285714,0.125,0.7407407407407407,0.14285714285714285,0.8571428571428571,0.9629629629629629,1.0
47,0.2,0.6666666666666666,0.16666666666666666,0.625,0.1,0.875,0.5833333333333334,0.25
48,0.25,0.8,0.1320754716981132,0.7307692307692307,0.0,1.0,1.0,1.0
49,0.5,0.0,0.2641509433962264,0.46153846153846156,0.5,0.0,1.0,1.0
50,0.0,1.0,0.17307692307692307,0.6785714285714286,0.0,1.0,0.8214285714285714,0.8333333333333334
51,0.3,0.25,0.3220338983050847,0.4411764705882353,0.2,0.6,0.6764705882352942,0.5
52,0.25,0.9,0.09433962264150944,0.84375,0.125,0.95,0.71875,0.6
53,0.14285714285714285,0.8,0.17857142857142858,0.7297297297297297,0.07142857142857142,0.9333333333333333,0.6756756756756757,0.6666666666666666
54,0.5,0.8571428571428571,0.3137254901960784,0.6,0.25,0.9411764705882353,0.825,0.6470588235294118
55,0.6,0.5714285714285714,0.24074074074074073,0.6176470588235294,0.1,0.9285714285714286,0.7058823529411765,0.5
56,0.6666666666666666,0.6666666666666666,0.36538461538461536,0.4411764705882353,0.6666666666666666,0.6666666666666666,0.7941176470588235,0.5833333333333334
57,0.5555555555555556,0.2857142857142857,0.3275862068965517,0.5365853658536586,0.3888888888888889,0.6111111111111112,0.6829268292682927,0.7222222222222222
58,0.125,0.8571428571428571,0.10526315789473684,0.8181818181818182,0.0625,0.9473684210526315,0.5757575757575758,0.5789473684210527
59,0.25,0.75,0.22641509433962265,0.5862068965517241,0.25,0.7777777777777778,1.0,1.0
60,0.0,1.0,0.1320754716981132,0.7407407407407407,0.0,1.0,0.5185185185185185,0.1111111111111111
61,0.6666666666666666,0.6666666666666666,0.3269230769230769,0.46875,0.3333333333333333,0.8333333333333334,0.90625,0.8333333333333334
62,0.2,0.5,0.37037037037037035,0.47368421052631576,0.2,0.5,0.7105263157894737,1.0
63,0.16666666666666666,0.6666666666666666,0.18181818181818182,0.6296296296296297,0.08333333333333333,0.8333333333333334,0.7407407407407407,1.0
64,0.5,0.6666666666666666,0.2909090909090909,0.5789473684210527,0.3333333333333333,0.7894736842105263,0.8421052631578947,0.7368421052631579
65,0.4,0.6,0.13559322033898305,0.8367346938775511,0.15,0.90625,0.5102040816326531,0.53125
66,0.45454545454545453,0.4444444444444444,0.31666666666666665,0.6041666666666666,0.22727272727272727,0.8148148148148148,0.6458333333333334,0.5185185185185185
67,0.42857142857142855,0.25,0.375,0.3225806451612903,0.21428571428571427,0.625,1.0,1.0
68,0.6,0.5714285714285714,0.2222222222222222,0.5862068965517241,0.1,0.9285714285714286,1.0,1.0
69,0.5,0.0,0.3333333333333333,0.37037037037037035,0.25,0.5,1.0,1.0
70,0.2727272727272727,0.6666666666666666,0.2,0.7391304347826086,0.13636363636363635,0.875,0.6304347826086957,0.7083333333333334
71,0.2,0.8,0.07407407407407407,0.8333333333333334,0.1,0.9,1.0,1.0
72,0.25,0.8,0.22641509433962265,0.7209302325581395,0.125,0.9090909090909091,0.813953488372093,0.9090909090909091
73,0.0,1.0,0.14035087719298245,0.6,0.0,1.0,0.95,1.0
74,0.6,0.3333333333333333,0.1864406779661017,0.6944444444444444,0.2,0.7894736842105263,1.0,1.0
75,0.0,1.0,0.17857142857142858,0.6153846153846154,0.0,1.0,0.9615384615384616,1.0
76,0.6363636363636364,0.3,0.31666666666666665,0.5128205128205128,0.3181818181818182,0.65,1.0,1.0
77,0.5,0.3333333333333333,0.22807017543859648,0.5185185185185185,0.3125,0.5833333333333334,0.8888888888888888,0.75
78,0.42857142857142855,0.7,0.17857142857142858,0.6666666666666666,0.21428571428571427,0.85,0.6666666666666666,0.55
79,0.4,0.6666666666666666,0.09259259259259259,0.7916666666666666,0.1,0.9166666666666666,0.625,0.3333333333333333
80,0.5555555555555556,0.16666666666666666,0.1724137931034483,0.6666666666666666,0.16666666666666666,0.8,0.7333333333333333,0.7333333333333333
81,0.3333333333333333,0.6363636363636364,0.19672131147540983,0.6923076923076923,0.25,0.75,0.7948717948717948,0.8333333333333334
82,0.3333333333333333,0.8333333333333334,0.2692307692307692,0.5757575757575758,0.0,1.0,0.9393939393939394,0.9166666666666666
83,0.4,0.3333333333333333,0.37037037037037035,0.5454545454545454,0.2,0.8,0.6818181818181818,0.5
84,0.4,0.75,0.3148148148148148,0.6666666666666666,0.3,0.8571428571428571,0.7450980392156863,0.7619047619047619
85,0.375,0.6666666666666666,0.14035087719298245,0.7777777777777778,0.1875,0.8846153846153846,0.5,0.34615384615384615
86,0.5,0.5454545454545454,0.2542372881355932,0.6808510638297872,0.25,0.8214285714285714,0.6595744680851063,0.6071428571428571
87,0.75,0.5,0.3018867924528302,0.68,0.5,0.8095238095238095,0.64,0.5714285714285714
88,0.6,0.25,0.3888888888888889,0.3225806451612903,0.6,0.25,1.0,1.0
89,1.0,0.6,0.37735849056603776,0.5,0.5,0.8095238095238095,1.0,1.0
90,0.5,0.7142857142857143,0.32075471698113206,0.5142857142857142,0.125,0.9333333333333333,0.8571428571428571,0.6666666666666666
91,0.4444444444444444,0.42857142857142855,0.2413793103448276,0.5172413793103449,0.2222222222222222,0.7142857142857143,1.0,1.0
92,0.5714285714285714,0.3333333333333333,0.32142857142857145,0.4,0.35714285714285715,0.5833333333333334,0.9666666666666667,1.0
93,1.0,0.625,0.17307692307692307,0.71875,0.3333333333333333,0.8823529411764706,0.6875,0.47058823529411764
94,0.6666666666666666,0.0,0.46153846153846156,0.3142857142857143,0.5,0.25,0.8571428571428571,1.0
