,Fraction of Accurate Reassortants,Fraction of Inaccurate Reassortants,Fraction of Accurate Edges,Fraction of Inaccurate Edges,Fraction of Accurate Reassortant Edges,Fraction of Inaccurate Reassortant Edges,Path Accuracy,Reassortant Path Accuracy
0,0.8888888888888888,0.0,0.08620689655172414,0.9230769230769231,0.1111111111111111,0.8888888888888888,0.4,0.5
1,1.0,0.0,0.09433962264150944,0.9242424242424242,0.125,0.9166666666666666,0.2727272727272727,0.16666666666666666
2,0.6666666666666666,0.0,0.017241379310344827,0.9859154929577465,0.0,1.0,0.1267605633802817,0.15384615384615385
3,1.0,0.0,0.038461538461538464,0.9682539682539683,0.0,1.0,0.14285714285714285,0.16666666666666666
4,1.0,0.0,0.07407407407407407,0.95,0.1,0.9523809523809523,0.1375,0.047619047619047616
5,1.0,0.0,0.058823529411764705,0.9545454545454546,0.0,1.0,0.21212121212121213,0.6
6,1.0,0.0,0.018867924528301886,0.9824561403508771,0.0,1.0,0.24561403508771928,0.3333333333333333
7,1.0,0.0,0.05357142857142857,0.9552238805970149,0.0,1.0,0.43283582089552236,0.5882352941176471
8,0.8333333333333334,0.0,0.10909090909090909,0.9104477611940298,0.16666666666666666,0.8461538461538461,0.3283582089552239,0.6153846153846154
9,1.0,0.0,0.10909090909090909,0.9032258064516129,0.0,1.0,0.43548387096774194,0.2
10,1.0,0.0,0.07272727272727272,0.9272727272727272,0.0,1.0,1.0,1.0
11,1.0,0.0,0.037037037037037035,0.9701492537313433,0.2,0.8823529411764706,0.22388059701492538,0.23529411764705882
12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.09090909090909091,0.9090909090909091,1.0,1.0
13,1.0,0.0,0.07017543859649122,0.9375,0.0625,0.9375,0.390625,0.5
14,1.0,0.0,0.07017543859649122,0.9506172839506173,0.125,0.9285714285714286,0.2345679012345679,0.10714285714285714
15,1.0,0.0,0.12727272727272726,0.8771929824561403,0.16666666666666666,0.8571428571428571,0.7368421052631579,0.7142857142857143
16,1.0,0.0,0.05357142857142857,0.9565217391304348,0.07142857142857142,0.95,0.21739130434782608,0.2
17,1.0,0.0,0.15254237288135594,0.8732394366197183,0.05,0.9642857142857143,0.28169014084507044,0.32142857142857145
18,0.75,0.0,0.05660377358490566,0.9605263157894737,0.0,1.0,0.15789473684210525,0.3076923076923077
19,1.0,0.0,0.06896551724137931,0.9375,0.05555555555555555,0.9583333333333334,0.390625,0.3333333333333333
20,0.8888888888888888,0.0,0.1206896551724138,0.8923076923076924,0.1111111111111111,0.9090909090909091,0.26153846153846155,0.2727272727272727
21,1.0,0.0,0.018518518518518517,0.9836065573770492,0.1,0.9230769230769231,0.18032786885245902,0.3076923076923077
22,1.0,0.0,0.1111111111111111,0.8909090909090909,0.1,0.9090909090909091,0.4727272727272727,0.5454545454545454
23,1.0,0.0,0.034482758620689655,0.9655172413793104,0.05555555555555555,0.9444444444444444,0.5172413793103449,0.5555555555555556
24,0.8,0.0,0.05555555555555555,0.9433962264150944,0.1,0.875,0.2641509433962264,0.25
25,1.0,0.0,0.017857142857142856,0.9857142857142858,0.0,1.0,0.2857142857142857,0.4
26,1.0,0.0,0.06779661016949153,0.9322033898305084,0.05,0.95,0.6779661016949152,0.65
