,Fraction of Accurate Reassortants,Fraction of Inaccurate Reassortants,Fraction of Accurate Edges,Fraction of Inaccurate Edges,Fraction of Accurate Reassortant Edges,Fraction of Inaccurate Reassortant Edges,Path Accuracy,Reassortant Path Accuracy
0,0.4444444444444444,0.6923076923076923,0.05172413793103448,0.9166666666666666,0.05555555555555555,0.9615384615384616,0.3888888888888889,0.4230769230769231
1,0.25,0.5,0.0,1.0,0.0,1.0,0.2,0.3333333333333333
2,0.2222222222222222,0.3333333333333333,0.017241379310344827,0.9655172413793104,0.0,1.0,0.27586206896551724,0.3333333333333333
3,0.3333333333333333,0.75,0.057692307692307696,0.9142857142857143,0.0,1.0,0.17142857142857143,0.25
4,0.4,0.5,0.037037037037037035,0.9487179487179487,0.0,1.0,0.15384615384615385,0.14285714285714285
5,0.0,1.0,0.058823529411764705,0.9090909090909091,0.0,1.0,0.2727272727272727,0.25
6,0.25,0.875,0.018867924528301886,0.9666666666666667,0.0,1.0,0.16666666666666666,0.0625
7,0.42857142857142855,0.5,0.017857142857142856,0.972972972972973,0.0,1.0,0.4594594594594595,0.4
8,0.3333333333333333,0.6,0.07272727272727272,0.9024390243902439,0.0,1.0,0.4146341463414634,0.4117647058823529
9,0.8333333333333334,0.2857142857142857,0.05454545454545454,0.925,0.08333333333333333,0.9473684210526315,0.375,0.42105263157894735
10,0.3333333333333333,0.7142857142857143,0.03636363636363636,0.9310344827586207,0.0,1.0,1.0,1.0
11,0.2,0.8888888888888888,0.018518518518518517,0.9772727272727273,0.0,1.0,0.22727272727272727,0.20833333333333334
12,0.5454545454545454,0.4,0.03333333333333333,0.9428571428571428,0.045454545454545456,0.95,1.0,1.0
13,0.5,0.5555555555555556,0.03508771929824561,0.9574468085106383,0.0,1.0,0.2553191489361702,0.21739130434782608
14,0.625,0.5454545454545454,0.05263157894736842,0.94,0.0,1.0,0.24,0.2
15,0.3333333333333333,0.6666666666666666,0.03636363636363636,0.9333333333333333,0.08333333333333333,0.9285714285714286,0.7666666666666667,0.7857142857142857
16,0.2857142857142857,0.6666666666666666,0.017857142857142856,0.975,0.0,1.0,0.25,0.3157894736842105
17,0.5,0.4444444444444444,0.01694915254237288,0.9736842105263158,0.0,1.0,0.21052631578947367,0.16666666666666666
18,0.5,0.0,0.03773584905660377,0.9166666666666666,0.0,1.0,0.125,0.2
19,0.6666666666666666,0.3333333333333333,0.06896551724137931,0.9047619047619048,0.05555555555555555,0.9545454545454546,0.40476190476190477,0.4090909090909091
20,0.5555555555555556,0.2857142857142857,0.017241379310344827,0.972972972972973,0.05555555555555555,0.9411764705882353,0.24324324324324326,0.29411764705882354
21,0.2,0.8,0.018518518518518517,0.975609756097561,0.0,1.0,0.3170731707317073,0.6111111111111112
22,0.4,0.7142857142857143,0.037037037037037035,0.9354838709677419,0.0,1.0,0.3548387096774194,0.4
23,0.2222222222222222,0.6,0.05172413793103448,0.90625,0.0,1.0,0.5625,0.6363636363636364
24,0.4,0.6,0.037037037037037035,0.9333333333333333,0.1,0.9166666666666666,0.36666666666666664,0.6666666666666666
25,0.42857142857142855,0.7692307692307693,0.0,1.0,0.0,1.0,0.18421052631578946,0.15384615384615385
26,0.4,0.5555555555555556,0.0,1.0,0.0,1.0,0.8205128205128205,0.631578947368421
27,0.0,1.0,0.0196078431372549,0.9705882352941176,0.0,1.0,0.17647058823529413,0.07692307692307693
28,0.4,0.6666666666666666,0.018518518518518517,0.96,0.0,1.0,1.0,1.0
29,0.0,1.0,0.0,1.0,0.0,1.0,0.1724137931034483,0.14285714285714285
30,0.4166666666666667,0.5454545454545454,0.01639344262295082,0.9836065573770492,0.0,1.0,0.2786885245901639,0.3
31,0.3333333333333333,0.5,0.017241379310344827,0.9696969696969697,0.05555555555555555,0.9285714285714286,0.2727272727272727,0.5
32,0.0,1.0,0.01818181818181818,0.9743589743589743,0.0,1.0,0.1794871794871795,0.21428571428571427
33,0.0,1.0,0.057692307692307696,0.9090909090909091,0.0,1.0,0.5454545454545454,0.47368421052631576
34,0.2857142857142857,0.6,0.07142857142857142,0.8666666666666667,0.0,1.0,1.0,1.0
35,0.0,1.0,0.057692307692307696,0.9387755102040817,0.0,1.0,0.20408163265306123,0.15
36,0.3333333333333333,0.6666666666666666,0.019230769230769232,0.96875,0.0,1.0,0.34375,0.42857142857142855
37,0.8,0.5555555555555556,0.0,1.0,0.0,1.0,0.2903225806451613,0.3157894736842105
38,0.5,0.6,0.0,1.0,0.0,1.0,0.5333333333333333,0.5
39,0.2857142857142857,0.7142857142857143,0.03571428571428571,0.9393939393939394,0.0,1.0,1.0,1.0
40,0.4,0.75,0.037037037037037035,0.9375,0.0,1.0,1.0,1.0
41,0.8333333333333334,0.5454545454545454,0.01818181818181818,0.9705882352941176,0.0,1.0,0.6470588235294118,0.6956521739130435
42,0.5555555555555556,0.375,0.05172413793103448,0.9230769230769231,0.1111111111111111,0.9,0.3076923076923077,0.3
43,0.25,0.5,0.0,1.0,0.0,1.0,0.2,0.25
44,0.3333333333333333,0.7777777777777778,0.01818181818181818,0.9666666666666667,0.0,1.0,1.0,1.0
45,0.7142857142857143,0.4444444444444444,0.05357142857142857,0.9318181818181818,0.07142857142857142,0.9565217391304348,0.45454545454545453,0.5652173913043478
46,0.42857142857142855,0.5714285714285714,0.017857142857142856,0.9629629629629629,0.07142857142857142,0.9285714285714286,0.7777777777777778,0.7142857142857143
47,0.2,0.6666666666666666,0.037037037037037035,0.9166666666666666,0.0,1.0,0.16666666666666666,0.125
48,0.25,0.8,0.018867924528301886,0.9615384615384616,0.0,1.0,1.0,1.0
49,0.5,0.0,0.018867924528301886,0.9615384615384616,0.125,0.75,1.0,1.0
50,0.0,1.0,0.038461538461538464,0.9285714285714286,0.0,1.0,0.5,0.5
51,0.3,0.25,0.03389830508474576,0.9411764705882353,0.0,1.0,0.35294117647058826,0.5
52,0.25,0.9,0.0,1.0,0.0,1.0,0.375,0.3
53,0.14285714285714285,0.8,0.03571428571428571,0.9459459459459459,0.0,1.0,0.13513513513513514,0.2
54,0.5,0.8571428571428571,0.058823529411764705,0.925,0.0,1.0,0.4,0.4117647058823529
55,0.6,0.5714285714285714,0.0,1.0,0.0,1.0,0.14705882352941177,0.21428571428571427
56,0.6666666666666666,0.6666666666666666,0.019230769230769232,0.9705882352941176,0.16666666666666666,0.9166666666666666,0.2647058823529412,0.4166666666666667
57,0.5555555555555556,0.2857142857142857,0.034482758620689655,0.9512195121951219,0.05555555555555555,0.9444444444444444,0.1951219512195122,0.16666666666666666
58,0.125,0.8571428571428571,0.0,1.0,0.0,1.0,0.09090909090909091,0.15789473684210525
59,0.25,0.75,0.018867924528301886,0.9655172413793104,0.125,0.8888888888888888,1.0,1.0
60,0.0,1.0,0.018867924528301886,0.9629629629629629,0.0,1.0,0.18518518518518517,0.1111111111111111
61,0.6666666666666666,0.6666666666666666,0.09615384615384616,0.84375,0.0,1.0,0.46875,0.4166666666666667
62,0.2,0.5,0.07407407407407407,0.8947368421052632,0.0,1.0,0.21052631578947367,0.0
63,0.16666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.2222222222222222,0.3333333333333333
64,0.5,0.6666666666666666,0.03636363636363636,0.9473684210526315,0.0,1.0,0.5526315789473685,0.631578947368421
65,0.4,0.6,0.03389830508474576,0.9591836734693877,0.0,1.0,0.22448979591836735,0.21875
66,0.45454545454545453,0.4444444444444444,0.016666666666666666,0.9791666666666666,0.0,1.0,0.16666666666666666,0.18518518518518517
67,0.42857142857142855,0.25,0.03571428571428571,0.9354838709677419,0.0,1.0,1.0,1.0
68,0.6,0.5714285714285714,0.05555555555555555,0.896551724137931,0.0,1.0,1.0,1.0
69,0.5,0.0,0.0196078431372549,0.9629629629629629,0.0,1.0,0.6666666666666666,0.5
70,0.2727272727272727,0.6666666666666666,0.03333333333333333,0.9565217391304348,0.045454545454545456,0.9583333333333334,0.5,0.5833333333333334
71,0.2,0.8,0.0,1.0,0.0,1.0,1.0,1.0
72,0.25,0.8,0.0,1.0,0.0,1.0,0.46511627906976744,0.6363636363636364
73,0.0,1.0,0.03508771929824561,0.9,0.0,1.0,0.35,0.5
74,0.6,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0
75,0.0,1.0,0.03571428571428571,0.9230769230769231,0.0,1.0,0.8076923076923077,0.6666666666666666
76,0.6363636363636364,0.3,0.016666666666666666,0.9743589743589743,0.0,1.0,1.0,1.0
77,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.7407407407407407,0.5833333333333334
78,0.42857142857142855,0.7,0.017857142857142856,0.9666666666666667,0.07142857142857142,0.95,0.5333333333333333,0.7
79,0.4,0.6666666666666666,0.037037037037037035,0.9166666666666666,0.1,0.9166666666666666,0.25,0.16666666666666666
80,0.5555555555555556,0.16666666666666666,0.0,1.0,0.0,1.0,0.3333333333333333,0.4
81,0.3333333333333333,0.6363636363636364,0.03278688524590164,0.9487179487179487,0.041666666666666664,0.9583333333333334,0.48717948717948717,0.5416666666666666
82,0.3333333333333333,0.8333333333333334,0.07692307692307693,0.8787878787878788,0.0,1.0,0.5454545454545454,0.8333333333333334
83,0.4,0.3333333333333333,0.0,1.0,0.0,1.0,0.13636363636363635,0.2
84,0.4,0.75,0.05555555555555555,0.9411764705882353,0.0,1.0,0.3333333333333333,0.38095238095238093
85,0.375,0.6666666666666666,0.0,1.0,0.0,1.0,0.2777777777777778,0.34615384615384615
86,0.5,0.5454545454545454,0.0847457627118644,0.8936170212765957,0.05,0.9642857142857143,0.5319148936170213,0.5357142857142857
87,0.75,0.5,0.03773584905660377,0.96,0.125,0.9523809523809523,0.26,0.19047619047619047
88,0.6,0.25,0.07407407407407407,0.8709677419354839,0.0,1.0,1.0,1.0
89,1.0,0.6,0.03773584905660377,0.95,0.0,1.0,1.0,1.0
